Date,Vendor,Product,Brand,Price,Grams,Price Per 100g
2024-04-05,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-05,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-05,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-06,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-06,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-06,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-07,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-07,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-08,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-08,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-08,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-09,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-09,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-09,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-10,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-10,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-10,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-11,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
